author,text,likes,time
@ardiansyahandika9157,"​ @fitrinurasiah2084  bang ferry Anda emang pahlawan. pejabat emang miris meremehkan gerakan bantuan anda. ditambah kalimat pejabat meremehkan mencekamnya bencana diremehkan dari sisi sosial media. TAPI JANGAN GAMPANG BILANG BENCANA NASIONAL KALAU GAMAU MENGERTI ARTINYA BERNEGARA. jangan balas dendam dg meminta sebagai bencana nasional secara subjektif. krn anda orang medan. klw bencana palu itu hari ini belum tentu anda menyuarakan bencana nasional. buktinya kemana anda saat bencana palu kan, iya belum viral. tapi pikir dulu dampaknya sebelum bersuara bang. salam",1,1 bulan yang lalu
@ryansetiawan2304,"​ @fitrinurasiah2084 STATUS BENCANA NASIONAL ITU agak sulit karena ada beberapa faktor daro pejabat penguasa yg sekarang, karena ketika penetapan BENCANA NASIONAL Di tetapkan bakalan ada bantuan asing dan juga bakalan ada investigasi monitoring apa akar permasalahanya n bakal ke usut bahwa ada pembalakan hutan yg mana merusak ekologi hutan tropis, yg pasti para penguasa pemerintah yg bermain bakalan kena, dan juga bakalan ada evaluasi n juga sangsi karena mengahancurkan hutan tropis itu permasalahan dunia di saat banyak yg menyuarakan global warming..",0,1 bulan yang lalu
@BRAVOO-z2i,"Aku pengen banget ya sebagai orang Minang dan cinta kampung halaman ingin memisahkan diri dari Indonesia atas ketidakadilan dan tidak ada tanggung jawab dari pemimpin pusat untuk melarang penggundulan hutan di Sumatera. penggundulan hutan yang dibuat oleh perusahaan yang tidak bertanggung jawab dan mirisnya disetujui oleh pemerintah pusat. ( yg ngurus persetujuan soal lahan itu pemerintah pusat, pemerintah daerah hanya sedikit diberi otonomi.)",25,2 bulan yang lalu (diedit)
@ahmadsofyan4822,​ @BRAVOO-z2i hidup dekengane pusat,3,2 bulan yang lalu
@Raccoon-y8z,"​ @BRAVOO-z2i utarakan semuanya,dan ga bakal terwujud ,ingat anda segelintir orang yg pengen,tapi mustahil kewujud",0,2 bulan yang lalu
@mariasyarif884,"​ @BRAVOO-z2i anda dan gerombolan Anda aja kali, Sumatera nggak mungkin memisahkan diri dari Indonesia, karena 4 dari founding father kita adalah orang Sumatera.Jangan2 anda bagian dari antek AS dan AUS yg demo di PBB agar Indonesia bagian timur dan Indonesia barat lepas dari NKRI, supaya AS dan AUS leluasa mengepung wilayah Asia..",0,2 bulan yang lalu
@bombomiskariot,"hallahh..sumatera ini aja kok, gak penting 3 provinsi.. kan bukan jawa ini aja kok.. gak perlulah bencana nasional
kalau hilang 1 tumbler di KRL baru bencana nasional sampai heboh semua media selama 2 minggu 🤣🤣",17,2 bulan yang lalu
@rifafebruani9247,​ @bombomiskariot aku juga heran knp tumbler lbh rame beritanya daripada ini😢😢,2,2 bulan yang lalu
@syakirreyhan5095,baru bisa on aku dari aceh bang,13,2 bulan yang lalu
@ahmadriskon6928,​ @syakirreyhan5095 lu gpp bng?,1,2 bulan yang lalu
@mfazriend977,saudara kita dibatujomba dan ditempat lain masih terisolasi ☹️🙁😕,11,2 bulan yang lalu
@EmpussOyen,"Mungkin Sumatra bukan bagian Indonesia 😏
Makanya bukan bencana nasional",10,2 bulan yang lalu
@deripratha574,​ @EmpussOyen  palak bapak kau khontthol Sumatra itu bagian Indonesia mungkin kau ini orang malaydesh type m beruk itu yah Sabah Serawak Kelantan dan Terengganu bukan bagian dari semenanjing malaydesh gitu yah 🇲🇾❤️🇮🇳🇧🇩🇵🇰🇱🇰🦧🦧😂,0,2 bulan yang lalu
@bimsalabimabracadabra,"Dan lucunya, aktifis lingkungan disebut WAHABI LINGKUNGAN oleh ""ini itu aNU""",9,2 bulan yang lalu
@Amorfati-f8b," @bimsalabimabracadabra kalau mayoritas orang NU bicara seperti itu maka pendapatmu benar, tapi di NU sendiri ada masalah internal karena tambang, banyak mayoritas tidak menginginkan hal itu, hanya karena si ulil bicara begitu bukan berarti mewakili suara mayoritas NU

Btw si ulil itu memang bangsat",0,2 bulan yang lalu (diedit)
@yudha_saputra,Akibat segelintir keserakahan manusia yang sangat rakus,6,2 bulan yang lalu
@rspdesign7,#PRAYFORSUMATERA,6,2 bulan yang lalu
@yusuf_setiawan06,Lekas pulih bumi Andalasku. Aceh Sumatra Utara Sumatra barat❤,5,2 bulan yang lalu
@EkoBudiSetyawan-g8k,"Kalau ada gempa di dasar laut yang melebihi batas toleransi pemberitahuan tsunami, jika aktifitas gunung meningkat diinformasikan warga tidak boleh aktifitas brp km, tapi kenapa saat BMKG mengetahui ada Cyclone tropical tidak memberikan info ke masyarakat akan datang curah hujan yang sangat tinggi yang bisa menimbulkan banjir",4,2 bulan yang lalu
@Sarman-i9z,"Akibat ulah pejabat dan oligarki yg serakah..
Rakyat yg menderita..",4,2 bulan yang lalu
@ZulvedeIsmal,"Kalo bencana seperti ini ada di tiga provinsi di P.Jawa, pasti sudah ditetapkan sbg Bencana Nasional..😮 karena Indonesia itu hanya Jawa 😮😅",4,2 bulan yang lalu
@muhammadsholifudin597,AYO BANG KITA MERDEKAKAN PULAU SUMATRA DRPD DI exploitasi jawa dan pusat drod yamg menderita rakyat kecil begini😅,27,2 bulan yang lalu
@Van_Buitenzorg,"​ @muhammadsholifudin597  udah dari lama GAM bersuara, eh di tuduh makar 😂 .. di Timur juga ada OPM, RMS sejak zaman kemerdekaan pengen pisah dari republik ini",9,2 bulan yang lalu
@yudha_saputra,"​​ @muhammadsholifudin597 kenapa Jawa di salahkan, salahkan saja  kepala daerah & orang "" yang punya perusahaan yang serakah itu",5,2 bulan yang lalu (diedit)
@f.s.firdaus8106,​ @muhammadsholifudin597 bisa2nya di tengah bencana kayak gini bicara soal separatisme.,3,2 bulan yang lalu
@Tychenyx9,"sibolga lumpuh total,",3,2 bulan yang lalu
@mp3random536,Aku kita memisahkan diri dari negara busuk ini!,3,2 bulan yang lalu
@sobrojef, @mp3random536 awas dikomen opung luhut😂😂,1,2 bulan yang lalu
@ruch-tce,​ @mp3random536 dosa opung luhut sama boby nasution yg kena azab se pulau sumatra,0,2 bulan yang lalu
@ucok-r9n,Tenda dan dapur darurat belum tampak bang.saudaruku dari Medan ngk bisa tembus sibolga.mau antar sembako.kalau mengharapkan pemerintah keburu mati kelaparan saudaraku disibolga,3,2 bulan yang lalu
@imanfirmansyah6885,Yang ngambil untung nya siapa yang kena dampak nya siapa.! Kacau,3,2 bulan yang lalu
@hendrasutandjalux3115,"sekedar di ketahui datangnya bencan itu, jujur saat saya bikin sertifikat tanah ternyata tanah saya itu termasuk hutan lindung dan lucunya sekolah sd saya dulu juga termasuk hutan lindung padahal ngak ada hutannya sama sekali. setelah di cek ternyata ini permainan yang tadinya betul2 hutan lindung pemetaanya bergeser karena pembukaan lahan sawit contohnya jika dalam pemetaan sebenarnya hutan lindung itu 10 rb hektar dan ada pembukaan lahan sawit di daerah hutan lindung sebenarnya maka berapa besar lahan yang dibuka di lahan hutan lindung itu segitu juga hutan itu bergeser sehingga pemukiman masyarakat menjadi hutan lindung itulah yang terjadi dihutan lindung yang dibabat demi kepentingan seseorang, siapa yang memberi hak untuk pembukaan lahan sawit atau yang lain tentunya pemerintah, sehingga masyarakat jadi korbannya, kalian boleh cek lahan hutan lindung yang ada disumbar itu lebih banyak pemukiman dari pada hutannya, yang tadinya emang hutan berdasarkan pemetaan sehingga jumlah dan luas hutan lindung itu tidak bisa dirubah namun di geser karena pembukaan lahan sehingga hutanlindung itu di babat  siapakah yang harus bertanggung jawab ?",3,2 bulan yang lalu
@αααηαα8906,"Assalamu'alaikum bang tolong di notice 

Bensin disini lagi di monopoli yang bisa hanya pertamax Pertalite kosong


Terus dibatasi per kereta sekitar 10 rb - 15 rb



Banyak kekurangan bensin disini",2,2 bulan yang lalu
@McDonald2025-c7u,Udah tau curah hujan tinggi... BMKG apakah udah kasih info. Klo tidak ada bener2 gak ada fungsi nya 🙏🙏🙏,2,2 bulan yang lalu
@Surya-fc1vf,"​ @McDonald2025-c7u  lha thailand dan Malaysia pun kena bencana yang sama
Lu kata BMKG itu dewa tau seberapa banyak hujan yang mau turun 😅",0,2 bulan yang lalu
@MureyMurtad7o,"​ @McDonald2025-c7u sudah. BMKG memprediksi 8 hari sebelum terjadi,info sudah disampaikan intensitas extreme nya sudah juga diinformasikan. BMKG udah berusaha bruh.",0,2 bulan yang lalu
@MuhammadAlfarizi-s4m,"Apa yang terjadi di Sumatera itu bukan bencana , TAPI KIAMAT...!!!
Dan penyebabnya adalah , PENGUSAHA DAN PEJABAT RAKUS...!",2,2 bulan yang lalu
@yudha_saputra,​ @MuhammadAlfarizi-s4m yang di salahkan malah pulau Jawa 😅,0,2 bulan yang lalu
@yudijuanjuan8407,"Maaf bang,,tolong beri penjelasan kpda saya... Menurut saya, Nusantara ini adalah daerah dengan kepulauan kepulauan kecil .. kenapa yaa pemerintah senang sekali mengeruk sumberdaya?? Tanpa kita aneh aneh terhadap alampun menurutku Nusantara adalah daratan yang sangat rentan terhadap bencana,sangat rentan tenggelam ,karna mencairnya kutub,, tanpa pngeboran air,,tanpa penambangan,,    tapi kenapa ya pemerintah matanya sangat   (hijau) banget kalo lihat SDA kita... Tau sedikit aja langsung apa apa dikerukk...mending kalo ada keuntungannya... Contoh nikel cuma 18 ribu/ton itupun dalam bentuk bongkahan,sedangkan dalam bongkahan tanah itu ada lithium dan lain lain yang cuma dikasihkan gratis... Apa keuntungan bagi negara, sedangkan uang kecil yang didapatkan tidak bisa untuk menambal kerusakan alamnya... Contoh.. negara kita rawan tenggelam ,tapi pasir pun dijual diakhir jabatan jokowi... Apa keuntungan jual pasir bisa buat bikin Giant sea wall jika nantinya tenggelam???    Tambang dikeruk,hutan dibabat,demi investor asing. ,, apa keuntungan dari itu semua bisa untuk membayar dampak kerusakan alam nya ..  dan menurutku ,jarang sekali Negara yang bisa maju karna mengandalkan sumber daya alamnya.saja.. Kecuali negara negara arab...  Rata rata negara maju pasti karna industri.(Dagang).  Kenapa pemerintah tidak fokus mengembangkan industrialisasi yah bang?? Padahal kan market kita kuat,300 juta penduduk lebih, masa kita kebingungan pasar,sedangkan kita pasar empuk bagi negara lain... Kalo harga belum bisa bersaing harusnya barang dari luar jangan dikasih masuk...kalaupun harus masuk harusnya bea cukai dibenahi... Maaf bang... Tolong dibahas... Karna saya bodoh,saya cuma pedagang jajanan pinggir jalan yang sekolah cuma sampai SMK...",2,2 bulan yang lalu
@phamyosinaga8979,"​ @yudijuanjuan8407 kalau harganya 18 ribu per ton ya jelas nggak ada untungnya buat negara BG, apalagi untuk rakyat nggak bisa kebagian bg, fee nya itu yg gede bg, untuk segelintir orang aja.",1,2 bulan yang lalu
@Sangang_Siseh,"Uni Eropa tertawa bang melihat bencana ini,
Kan mereka ngotot bilang minyak sawit = deforestasi merusak lingkungan, ternyata benar 😭",2,2 bulan yang lalu
@Aps-h2b,"Mau berharap apa, pada akhirnya hanya ada beberapa kambing hitam yang ditumbalkan untuk mereda keresahan masyarakat,,
Setelah suasana kondusif, rakyat mulai tenang, mereka yang serakah akan kembali kongkalikong untuk melancarkan usaha mereka dalam memperkaya diri dengan cara menghancurkan hutan",2,2 bulan yang lalu
@pasuruan-x,"​ @Aps-h2b tingal atur algoritma medsos,semua hilang😂😂😂😂😂😂😂😂.
Yg kita butuh adalah revolusi.",0,2 bulan yang lalu
@novandwiariyanto9591,"Ati2 gaes, banyak no telpon ga di kenal berkeliaran dari arah pulau sumatera. GetWellSoon Daerah yang terdampak bencana.",1,2 bulan yang lalu
@KenziArka-z5r,"Terlepas dari semua isu2 politik, Ini adalah pengingat penting: Pemanasan global itu NYATA, dan solusinya ada di tangan kita, dimulai dari langkah kecil.
​Kita harus berhenti merusak alam! Mulai dari kurangi sampah plastik, hemat energi, dan dukung gerakan penanaman pohon. Alam adalah paru-paru bumi. Kalau kita jaga hutan, lautan, dan ekosistem, kita sebenarnya sedang menjaga diri kita sendiri.",1,2 bulan yang lalu
@nafishidayat6849,Apakah Dosa president sebelumnya Sama lord?,1,2 bulan yang lalu
@IlhamUdah,"Malah menjarah Alfamart, aceh medan Sumatra,gak jelas banget gua ada bukti video nya, brobrok",1,2 bulan yang lalu
@ahmadsuada9667,​ @IlhamUdah medan tu bro yg kena banjir malah angkut besi,0,2 bulan yang lalu
@coreiokoc7449,"disitu periuk nasi banyak pihak, bukan hanya sipil. kalau hanya sipil walau setingkat gubernur. masih mudah diselesaikan.",1,2 bulan yang lalu
@Paskovich-Tyronyst,"Akses transportasi dan segala macam tetek bengek sangat terbatas di Pulau Sumatra bagian Barat. Dari ujung Lampung sampai ujung Aceh, rata. Yang sedikit bagus hanyalah dari Bengkulu - Pariaman. Sisanya ah sudahlah. Tidak ada yg akan pulih sanak, karena selama ini daerah tersebut sakit2an, terpinggirkan dari pembangunan, terlupakan oleh penguasa.",1,2 bulan yang lalu
@Yana-ph6ln,Woy pulih gmna itu bencana nasional tau harus bertahap besar dampak nya gk mikir lho,1,2 bulan yang lalu
@HalimahTusSyahdiyah-h5l5o,"​ @Yana-ph6ln sabar kak sabar,semoga segera ditetapkan gedek juga kalo disepelekan 😭😭😭😭",1,2 bulan yang lalu
@MisyadiZ,"Gue setuju bahwa ini bukan bencana nasional

Langit menurunkan hujan, itu berkah.
Bumi menggeliat, itu fitrah.
Tapi ketika rumah kami tenggelam,
Ketika jembatan kami runtuh,
Jangan kau tunjuk langit sebagai tersangka!
Lihatlah gorong-gorong yang kau biarkan dangkal.
Lihatlah hutan beton yang kau izinkan menjulang.
Lihatlah bukit yang kau biarkan gundul demi tambang.
Ini bukan bencana nasional.
Ini adalah akumulasi tanda tangan pejabat yang abai.
Ini adalah monumen kelalaian penguasa daerah.
Kami tidak butuh status darurat, kami butuh pertanggungjawaban!",1,2 bulan yang lalu
@indonesia20734,Mending lu jadi gubernur sumatra aja bang biar adil😂😂😂😂,1,2 bulan yang lalu
@iskandarachmad3736,Sedih bang liat segitu banyaknya kayu²yang di tebang 😢,1,2 bulan yang lalu
@B-man00987,"sekedar ralat buat lu fer: siklon penyebab musibah di aceh sumut sumbar itu siklon senyar (95B) bukan siklon koto (27). jadi koto gak ada hubungannya dgn ind krn di posisinya jauh di timur laut vietnam. dan curah hujan tertinggi ada di tapanuli tenga dengan 311 milimeter, bukan 800 milimeter seperti yg elu sampaikan. tolong data sumber lu hrs direvisi, biar valid.  thx. 

- pos ronda kemayoran -",1,2 bulan yang lalu
@elgiverdianabdillah376,Terima kasih sudah sangat mewakilkan bg Ferry. 🫡,1,2 bulan yang lalu
@raka-u3q5v,"Admin s cara halus memprovokasi..mengambil kesempatan  untuk konten...anda hanya duduk manis disitu..tidak kotor""an...
Secara halus .. menyuarajan ketidak Adilan.
Di pulau Jawa pun juga sering bencana... gunung meletus...banjir ...longsor ..gempa bumi...tidak di perlakukan istimewa juga..tapi tidak menyuarakan ketidak Adilan..karena bencana juga ..ada tangan manusianya juga yg menjadi penyebab.
Saya sebagai orang Jawa barat..SAMA SEKALI TIDAK MERASA DI ISTIMEWAKAN...SEJAK UMUR 8 TAHUN YATIM PIATU HIDUP DG KK PETEMPUAN  UMUR 13 THN SAAT ITU..KAMI BERJUANG...DARI SD DAMPAI SMU SAYA KESEKOLAH JUALAN KERIPIK..😢....BISA KULIAH KARWNA PROGRAM BIDIK MISI YG ADA DI SELURUH INDONESIA...SEKARANG BISA BEKERJA DI BELANDA..DAN SAMBIL LANJUTKAN KULIAH S2  KARWNA BEASISWA...TIDAK ADA KEISTIMEWAAN APAPUN DARI PEMERINTAH...SAAT GEMPA DI  CIANJUR KAMPUNG  SAYA SEKALIPUN.
SAYA NENULUS SEPERTI INI..KEPADA ANDA...KARENA ULASAN ANDA ..DI JILAT M KOMENYA BANYAK YANG MENGIRA KAMI YANG TINGGAL DI PULAU JAWA DI ISTIMEWAKAN.
INGAT GEMPA VIANJUR KAMPUNG SAYA..RUSAK PARAH...
KAMI SANGAT  PRIHATIN DENGAN BENCANA DI SUMATRA... EMUA ORANG INDONESIA ..TURUT BERDUKA.
TAPI SEMAKIN BANYAK KE NTEN KREATOR YG MEMANFAATKAN  KONDISI INI UNTUK KONTEN D NGAN NARASI YG HAMPIR SAMA.
SEMOGA DALAM SITUASI INI HARUSNYA SAMA"" MENDUKUNG...JANGAN MEMBUAT NARASI INI ITU...",1,2 bulan yang lalu
@mhd-str-989,"​ @raka-u3q5v  Maaf Bang saya sudah pernah merantau keluar Pulau Jawa & itu emang bener kok kehidupan di Jawa gk sesulit diluar pulau dalam hal fasilitas, infrastruktur serta pra struktur.. Jauh..",1,2 bulan yang lalu
@elgiverdianabdillah376,​ @raka-u3q5v Minimal mengalami tinggal disini dlu baru comment begini. Setidaknya pemerataan akses dan infrastruktur adanya benar seperti yang ferry irwandi katakan. Yang dibahas ga cuma perihal penanggulangan bencana pada konteksnya pas dia bahas itu.,1,2 bulan yang lalu
@AmericanNinja-s9n,ANTI JAWA SENTRIS DAN PRIMORDIALISME SUKUISME AKUT!,1,2 bulan yang lalu
@raka-u3q5v,"​ @AmericanNinja-s9n iya ..gak tahu kenapa...tiap ada kesulitan pasti yg di jual narasi seperti itu...bukanya tidak simpatik dengan bencana...saya jadi ga orang Jawa barat..(cianjur)..tidak satu dua kali mengalami bencana gempa bumi...yg terakhir malah runtuh rumah saya...apa diistimewakan tentu tidak akses jalan kami yg berbukit"" pasti menyulitkan",2,2 bulan yang lalu
@atengsurya4036,"Setelah Begini keadaannya baru Kita mengerti… maksud dn tujuannya OPM…knp hrs terjadi sesuatu dulu..baru Sadar akan kekurangan ketidakadilan…krn dlm Situation terpuruk..klw tdk Ada tindakan dr PUSAT Kalian berhak atas tanah kelahiran Semua…berpisah dr keserakahan.. Revolution..Not CORUPTION…Sumatra merdeka ,Bali merdeka..Sunda,sulawesi,merdekalah Kalian Semua dr ketidakadilan dn kekuasaan ..",1,2 bulan yang lalu
@anggisetya9643,"Gimana mau pulih bang... Selagi masih ada tikus2 berdasi yg masih berkutat di negeri ini... Saya kira bukan cuma TAMBANG yg jadi permasalahan LONGSOR... Tp adanya pembabatan POHON selama ini telah terjadi... Memang BANGSAT banget itu yg bermain

SAYA YAKIN 1000% ini ada orang pemerintahan yg BERMAIN.",1,2 bulan yang lalu
@mhdfikrian,"terimakasih karna sudah menyuarakan apa yang kami rasakan di sumatra barat bg ferry..
terlepas dari apa dan bagaimana bencana seperti ini dapat terjadi, yang saya harapkan cuma satu hal, pemerintah pusat setidaknya memberi perhatian lebih terhadap masyarakat yang terdampak bencana baik itu materil maupun tidak.. karna jujur sangat amat banyak sekali masyarakat disini seperti palembayan, malalak, matur dan masih banyak daerah lain yang berhasil survive dari bencana, tapi tidak berhasil bertahan karna terbatasnya bahan makanan yang ada dan keperluan dasar lainnya seperti pakaian dan obat2an..",1,2 bulan yang lalu
@ack_attack,Pemerintah dan kamu sama saja. kebanyakan wacana nggedabrus,1,2 bulan yang lalu
@songofthestars3,​ @ack_attack dih buzzer,0,2 bulan yang lalu
@Dewichannel45,Kek mana mau pulih orng di ruksak terus bang😢😢,1,2 bulan yang lalu
@anisawicaksono5994,"Pejabat Indonesia udahh ga pedulii sama negaranya, pokoknya yg penting cuaaaann,, cuaaaan, kalo negara bisa dijual pasti dijual sama mereka.. jabatan cm status untuk memudahkan mereka..😊",1,2 bulan yang lalu
@pendekarmalam3012,"sayangnya dananya buat MBG, sumatra tidak kebagian",1,2 bulan yang lalu
@MustofaKurniawan-l8x,"Badai tropis, senyar. Muncul di selat melaka, melintasi Sumatra utara, malaysia semenanjung, dan sekarang berada si perairan Serawak",1,2 bulan yang lalu
@pasuruan-x,​ @MustofaKurniawan-l8x iya saya tingal di Putrajaya dan banjir yg dimalasya tidak membawa kayu gelondongan.,0,2 bulan yang lalu
@wisanggeni1625,"Penyebab bencana alam itu adalah kotornya jiwa para penghuninya. Jangan hanya menuntut, tapi benahi akhlak yang sesuai dengan tuntunan agama. Sebab alam ada pemiliknya, alam ada penciptanya. Jangan hanya berlogika, tapi kaji juga secara spiritual.",1,2 bulan yang lalu
@adifmulyana3905,"Konteks llu ga nyambung. Bencana nasional bawa2 jawa… situ yang deforestasi, situ yang nanggung… jangan salahin sana sini…",1,2 bulan yang lalu (diedit)
@bukan_DPR,Sy lahir dan besar d sumatera bang. Memang nyata,1,2 bulan yang lalu
@andryanarinudin3832,Bang Ferry kalau masuk pemerintahan kira2 bisa konsisten gak...karena saya udah bosan lihat orang2 muda idealis begitu masuk pemerintahan malah ikutan jadi bandit.,1,2 bulan yang lalu
@Yulistri-vr8lv,"Presiden prabowo dlm dilema.
Pilih menyelamatkan rakyatnya yg di Sumatra dgn menetapkan ini bencana nasional dan menggelontorkan uang yg besar ke Sumatra atau menyelamatkan jokowi dgn bayar utang"" nya yg ribuan trilyun, khususnya utang woosh yg trilyunan tiap tahunnya.",1,2 bulan yang lalu
@cillabaeung3854,"Mau optimis, tapi ini Indonesia.
Presiden hanya simbol politik",1,2 bulan yang lalu
@Sekarangmnbhgbgh,Yg diperhatikan hanya kaum buruh yg gajinya naik tiap tahun. Umr naik tinggi tiap tahun ump juga sedangkan rakyat lainnya cuma bisa gigit jari. Harga2 naik😢 PHK dimana-mana😢😢,1,2 bulan yang lalu
@BatalyonPetrus,Sedang menunggu ulama wahabi lingkungan,0,2 bulan yang lalu
@Staytogether14,Aamiin,0,2 bulan yang lalu
@wilhelmus9252,Bang Ferdy bahas tentang statement Prabowo tentang Deforestasi,0,2 bulan yang lalu
@Maximilianusanthonius,Gk bakalan bs pulih klo masyarakatnya gk pulih bro...,0,2 bulan yang lalu (diedit)
@AlqornyAid,Aammin,0,2 bulan yang lalu
@Canabskg796,"MARI BERGABUNG BERSAMA KAMI BARISAN RELAWAN PAK JOKOWI
MENDAPATKAN GAJI BULANAN DAN BEBAS DARI HUKUM NEGARA

APABILA MEMPUNYAI KAPASITAS KOMUNIKASI DAN BERARGUMENTASI BISA TAMPIL DI STASIUN TV NASIONAL UNTUK BERDEBAT DENGAN ROY SURYO DLL

JIKA BERMINAT SEGERA DM KE BANG ANDI.AZWAN68 SALAH SATU PENTOLAN RELAWAN  JOKOWI MANIA ""JOMAN""",0,2 bulan yang lalu
@pembasmi_hama99,Allhamdulilah bang gak ada yg di postingan bencana banjir aceh gaka da yg hujat karna banyak dosa dulu pas di ada di postingan saat banjir di jawa banyak kali yg hujat 😢 karna banyak dosa semoga teteap gak ada yg hujat 🤔 atau sekarang yg hujat lagi sedang berbenah dan tetap SEGERA PULIH SUMATRAKU  😢 salam dari jawa (berbicara dengan nada yg sangat lembut),0,2 bulan yang lalu (diedit)
@syahrulramadhan2630,Kampung ku 70%rumah hancur total bang di Aceh utara,0,2 bulan yang lalu
@BRAVOO-z2i,​ @syahrulramadhan2630 Sabar yabg,0,2 bulan yang lalu
@KawaiiYumemi,Lihat balasan video Shorts,0,2 bulan yang lalu
@arifinmalik1234,"dari dulu sumbar itu kayaknya bukan bagian dari Indonesia bg, sampe² ada narasi ""jangan harap anak sumbar bakal jadi presiden"".. miris",0,2 bulan yang lalu
@arifinmalik1234,"dari dulu sumbar itu kayaknya bukan Indonesia bg, sampe² ada narasi ""jangan harap anak sumbar bakal jadi presiden"".. miris",0,2 bulan yang lalu
@MufliIkhfani,Aamiin ya robbal'alamiin,0,2 bulan yang lalu
