author,text,likes,time,text_clean,sentiment
@fitrinurasiah2084,"Penetapan status menjadi Bencana Nasional tentu saja hal yang sangat kita harapkan. Tapi bang, rasanya kemarahanku masih kuat atas narasi-narasi mengenai keadaan alam Indonesia yang semakin habis akibat tangan - tangan peraup keuntungan atau yang terkait lah, katakanlah oknum yang banyak itu. Setelah hal ini terjadi, apa yang bisa mereka pertanggungjawabkan atas sikap dan narasinya? Apakah cukup dengan menghilang dari media sosial? Adakah rasa bersalah dan rasa malu? Bagaimana mungkin bisa sebegitunya tidak merasa bersalah atas inkompetensi mereka? Bagaimana sebenarnya proses pengembanan kekuasaan bisa berjalan jika tanpa dasar kompetensi?",74,2 bulan yang lalu,penetapan status menjadi bencana nasional tentu saja hal yang sangat kita harapkan  tapi bang  rasanya kemarahanku masih kuat atas narasi narasi mengenai keadaan alam indonesia yang semakin habis akibat tangan   tangan peraup keuntungan atau yang terkait lah  katakanlah oknum yang banyak itu  setelah hal ini terjadi  apa yang bisa mereka pertanggungjawabkan atas sikap dan narasinya  apakah cukup dengan menghilang dari media sosial  adakah rasa bersalah dan rasa malu  bagaimana mungkin bisa sebegitunya tidak merasa bersalah atas inkompetensi mereka  bagaimana sebenarnya proses pengembanan kekuasaan bisa berjalan jika tanpa dasar kompetensi,Negative
@katoelook,​ @fitrinurasiah2084 semenjak mulyono habis wakanda dengan tikus2 rakus,4,2 bulan yang lalu,semenjak mulyono habis wakanda dengan tikus  rakus,Neutral
@ardiansyahandika9157,"​ @fitrinurasiah2084  bang ferry Anda emang pahlawan. pejabat emang miris meremehkan gerakan bantuan anda. ditambah kalimat pejabat meremehkan mencekamnya bencana diremehkan dari sisi sosial media. TAPI JANGAN GAMPANG BILANG BENCANA NASIONAL KALAU GAMAU MENGERTI ARTINYA BERNEGARA. jangan balas dendam dg meminta sebagai bencana nasional secara subjektif. krn anda orang medan. klw bencana palu itu hari ini belum tentu anda menyuarakan bencana nasional. buktinya kemana anda saat bencana palu kan, iya belum viral. tapi pikir dulu dampaknya sebelum bersuara bang. salam",1,1 bulan yang lalu,bang ferry anda emang pahlawan  pejabat emang miris meremehkan gerakan bantuan anda  ditambah kalimat pejabat meremehkan mencekamnya bencana diremehkan dari sisi sosial media  tapi jangan gampang bilang bencana nasional kalau gamau mengerti artinya bernegara  jangan balas dendam dg meminta sebagai bencana nasional secara subjektif  krn anda orang medan  klw bencana palu itu hari ini belum tentu anda menyuarakan bencana nasional  buktinya kemana anda saat bencana palu kan  iya belum viral  tapi pikir dulu dampaknya sebelum bersuara bang  salam,Neutral
@ryansetiawan2304,"​ @fitrinurasiah2084 STATUS BENCANA NASIONAL ITU agak sulit karena ada beberapa faktor daro pejabat penguasa yg sekarang, karena ketika penetapan BENCANA NASIONAL Di tetapkan bakalan ada bantuan asing dan juga bakalan ada investigasi monitoring apa akar permasalahanya n bakal ke usut bahwa ada pembalakan hutan yg mana merusak ekologi hutan tropis, yg pasti para penguasa pemerintah yg bermain bakalan kena, dan juga bakalan ada evaluasi n juga sangsi karena mengahancurkan hutan tropis itu permasalahan dunia di saat banyak yg menyuarakan global warming..",0,1 bulan yang lalu,status bencana nasional itu agak sulit karena ada beberapa faktor daro pejabat penguasa yg sekarang  karena ketika penetapan bencana nasional di tetapkan bakalan ada bantuan asing dan juga bakalan ada investigasi monitoring apa akar permasalahanya n bakal ke usut bahwa ada pembalakan hutan yg mana merusak ekologi hutan tropis  yg pasti para penguasa pemerintah yg bermain bakalan kena  dan juga bakalan ada evaluasi n juga sangsi karena mengahancurkan hutan tropis itu permasalahan dunia di saat banyak yg menyuarakan global warming,Neutral
@BRAVOO-z2i,"Aku pengen banget ya sebagai orang Minang dan cinta kampung halaman ingin memisahkan diri dari Indonesia atas ketidakadilan dan tidak ada tanggung jawab dari pemimpin pusat untuk melarang penggundulan hutan di Sumatera. penggundulan hutan yang dibuat oleh perusahaan yang tidak bertanggung jawab dan mirisnya disetujui oleh pemerintah pusat. ( yg ngurus persetujuan soal lahan itu pemerintah pusat, pemerintah daerah hanya sedikit diberi otonomi.)",25,2 bulan yang lalu (diedit),aku pengen banget ya sebagai orang minang dan cinta kampung halaman ingin memisahkan diri dari indonesia atas ketidakadilan dan tidak ada tanggung jawab dari pemimpin pusat untuk melarang penggundulan hutan di sumatera  penggundulan hutan yang dibuat oleh perusahaan yang tidak bertanggung jawab dan mirisnya disetujui oleh pemerintah pusat    yg ngurus persetujuan soal lahan itu pemerintah pusat  pemerintah daerah hanya sedikit diberi otonomi,Negative
@ahmadsofyan4822,​ @BRAVOO-z2i hidup dekengane pusat,3,2 bulan yang lalu,z i hidup dekengane pusat,Neutral
@Raccoon-y8z,"​ @BRAVOO-z2i utarakan semuanya,dan ga bakal terwujud ,ingat anda segelintir orang yg pengen,tapi mustahil kewujud",0,2 bulan yang lalu,z i utarakan semuanya dan ga bakal terwujud  ingat anda segelintir orang yg pengen tapi mustahil kewujud,Neutral
@mariasyarif884,"​ @BRAVOO-z2i anda dan gerombolan Anda aja kali, Sumatera nggak mungkin memisahkan diri dari Indonesia, karena 4 dari founding father kita adalah orang Sumatera.Jangan2 anda bagian dari antek AS dan AUS yg demo di PBB agar Indonesia bagian timur dan Indonesia barat lepas dari NKRI, supaya AS dan AUS leluasa mengepung wilayah Asia..",0,2 bulan yang lalu,z i anda dan gerombolan anda aja kali  sumatera nggak mungkin memisahkan diri dari indonesia  karena   dari founding father kita adalah orang sumatera jangan  anda bagian dari antek as dan aus yg demo di pbb agar indonesia bagian timur dan indonesia barat lepas dari nkri  supaya as dan aus leluasa mengepung wilayah asia,Neutral
@bombomiskariot,"hallahh..sumatera ini aja kok, gak penting 3 provinsi.. kan bukan jawa ini aja kok.. gak perlulah bencana nasional
kalau hilang 1 tumbler di KRL baru bencana nasional sampai heboh semua media selama 2 minggu 🤣🤣",17,2 bulan yang lalu,"hallahh  sumatera ini aja kok  gak penting   provinsi   kan bukan jawa ini aja kok   gak perlulah bencana nasional
kalau hilang   tumbler di krl baru bencana nasional sampai heboh semua media selama   minggu",Negative
@rifafebruani9247,​ @bombomiskariot aku juga heran knp tumbler lbh rame beritanya daripada ini😢😢,2,2 bulan yang lalu,aku juga heran knp tumbler lbh rame beritanya daripada ini,Neutral
@syakirreyhan5095,baru bisa on aku dari aceh bang,13,2 bulan yang lalu,baru bisa on aku dari aceh bang,Neutral
@ahmadriskon6928,​ @syakirreyhan5095 lu gpp bng?,1,2 bulan yang lalu,lu gpp bng,Neutral
@mfazriend977,saudara kita dibatujomba dan ditempat lain masih terisolasi ☹️🙁😕,11,2 bulan yang lalu,saudara kita dibatujomba dan ditempat lain masih terisolasi,Neutral
@EmpussOyen,"Mungkin Sumatra bukan bagian Indonesia 😏
Makanya bukan bencana nasional",10,2 bulan yang lalu,"mungkin sumatra bukan bagian indonesia  
makanya bukan bencana nasional",Negative
@deripratha574,​ @EmpussOyen  palak bapak kau khontthol Sumatra itu bagian Indonesia mungkin kau ini orang malaydesh type m beruk itu yah Sabah Serawak Kelantan dan Terengganu bukan bagian dari semenanjing malaydesh gitu yah 🇲🇾❤️🇮🇳🇧🇩🇵🇰🇱🇰🦧🦧😂,0,2 bulan yang lalu,palak bapak kau khontthol sumatra itu bagian indonesia mungkin kau ini orang malaydesh type m beruk itu yah sabah serawak kelantan dan terengganu bukan bagian dari semenanjing malaydesh gitu yah,Negative
@bimsalabimabracadabra,"Dan lucunya, aktifis lingkungan disebut WAHABI LINGKUNGAN oleh ""ini itu aNU""",9,2 bulan yang lalu,dan lucunya  aktifis lingkungan disebut wahabi lingkungan oleh  ini itu anu,Neutral
@Amorfati-f8b," @bimsalabimabracadabra kalau mayoritas orang NU bicara seperti itu maka pendapatmu benar, tapi di NU sendiri ada masalah internal karena tambang, banyak mayoritas tidak menginginkan hal itu, hanya karena si ulil bicara begitu bukan berarti mewakili suara mayoritas NU

Btw si ulil itu memang bangsat",0,2 bulan yang lalu (diedit),"kalau mayoritas orang nu bicara seperti itu maka pendapatmu benar  tapi di nu sendiri ada masalah internal karena tambang  banyak mayoritas tidak menginginkan hal itu  hanya karena si ulil bicara begitu bukan berarti mewakili suara mayoritas nu

btw si ulil itu memang bangsat",Negative
@yudha_saputra,Akibat segelintir keserakahan manusia yang sangat rakus,6,2 bulan yang lalu,akibat segelintir keserakahan manusia yang sangat rakus,Neutral
@rspdesign7,#PRAYFORSUMATERA,6,2 bulan yang lalu,,Neutral
@yusuf_setiawan06,Lekas pulih bumi Andalasku. Aceh Sumatra Utara Sumatra barat❤,5,2 bulan yang lalu,lekas pulih bumi andalasku  aceh sumatra utara sumatra barat,Positive
@EkoBudiSetyawan-g8k,"Kalau ada gempa di dasar laut yang melebihi batas toleransi pemberitahuan tsunami, jika aktifitas gunung meningkat diinformasikan warga tidak boleh aktifitas brp km, tapi kenapa saat BMKG mengetahui ada Cyclone tropical tidak memberikan info ke masyarakat akan datang curah hujan yang sangat tinggi yang bisa menimbulkan banjir",4,2 bulan yang lalu,kalau ada gempa di dasar laut yang melebihi batas toleransi pemberitahuan tsunami  jika aktifitas gunung meningkat diinformasikan warga tidak boleh aktifitas brp km  tapi kenapa saat bmkg mengetahui ada cyclone tropical tidak memberikan info ke masyarakat akan datang curah hujan yang sangat tinggi yang bisa menimbulkan banjir,Negative
@Sarman-i9z,"Akibat ulah pejabat dan oligarki yg serakah..
Rakyat yg menderita..",4,2 bulan yang lalu,"akibat ulah pejabat dan oligarki yg serakah  
rakyat yg menderita",Neutral
@ZulvedeIsmal,"Kalo bencana seperti ini ada di tiga provinsi di P.Jawa, pasti sudah ditetapkan sbg Bencana Nasional..😮 karena Indonesia itu hanya Jawa 😮😅",4,2 bulan yang lalu,kalo bencana seperti ini ada di tiga provinsi di p jawa  pasti sudah ditetapkan sbg bencana nasional    karena indonesia itu hanya jawa,Neutral
@muhammadsholifudin597,AYO BANG KITA MERDEKAKAN PULAU SUMATRA DRPD DI exploitasi jawa dan pusat drod yamg menderita rakyat kecil begini😅,27,2 bulan yang lalu,ayo bang kita merdekakan pulau sumatra drpd di exploitasi jawa dan pusat drod yamg menderita rakyat kecil begini,Neutral
@Van_Buitenzorg,"​ @muhammadsholifudin597  udah dari lama GAM bersuara, eh di tuduh makar 😂 .. di Timur juga ada OPM, RMS sejak zaman kemerdekaan pengen pisah dari republik ini",9,2 bulan yang lalu,udah dari lama gam bersuara  eh di tuduh makar      di timur juga ada opm  rms sejak zaman kemerdekaan pengen pisah dari republik ini,Neutral
@yudha_saputra,"​​ @muhammadsholifudin597 kenapa Jawa di salahkan, salahkan saja  kepala daerah & orang "" yang punya perusahaan yang serakah itu",5,2 bulan yang lalu (diedit),kenapa jawa di salahkan  salahkan saja  kepala daerah   orang   yang punya perusahaan yang serakah itu,Neutral
@f.s.firdaus8106,​ @muhammadsholifudin597 bisa2nya di tengah bencana kayak gini bicara soal separatisme.,3,2 bulan yang lalu,bisa nya di tengah bencana kayak gini bicara soal separatisme,Neutral
@Tychenyx9,"sibolga lumpuh total,",3,2 bulan yang lalu,sibolga lumpuh total,Neutral
@mp3random536,Aku kita memisahkan diri dari negara busuk ini!,3,2 bulan yang lalu,aku kita memisahkan diri dari negara busuk ini,Neutral
@sobrojef, @mp3random536 awas dikomen opung luhut😂😂,1,2 bulan yang lalu,awas dikomen opung luhut,Neutral
@ruch-tce,​ @mp3random536 dosa opung luhut sama boby nasution yg kena azab se pulau sumatra,0,2 bulan yang lalu,dosa opung luhut sama boby nasution yg kena azab se pulau sumatra,Neutral
@ucok-r9n,Tenda dan dapur darurat belum tampak bang.saudaruku dari Medan ngk bisa tembus sibolga.mau antar sembako.kalau mengharapkan pemerintah keburu mati kelaparan saudaraku disibolga,3,2 bulan yang lalu,tenda dan dapur darurat belum tampak bang saudaruku dari medan ngk bisa tembus sibolga mau antar sembako kalau mengharapkan pemerintah keburu mati kelaparan saudaraku disibolga,Negative
@imanfirmansyah6885,Yang ngambil untung nya siapa yang kena dampak nya siapa.! Kacau,3,2 bulan yang lalu,yang ngambil untung nya siapa yang kena dampak nya siapa   kacau,Neutral
@hendrasutandjalux3115,"sekedar di ketahui datangnya bencan itu, jujur saat saya bikin sertifikat tanah ternyata tanah saya itu termasuk hutan lindung dan lucunya sekolah sd saya dulu juga termasuk hutan lindung padahal ngak ada hutannya sama sekali. setelah di cek ternyata ini permainan yang tadinya betul2 hutan lindung pemetaanya bergeser karena pembukaan lahan sawit contohnya jika dalam pemetaan sebenarnya hutan lindung itu 10 rb hektar dan ada pembukaan lahan sawit di daerah hutan lindung sebenarnya maka berapa besar lahan yang dibuka di lahan hutan lindung itu segitu juga hutan itu bergeser sehingga pemukiman masyarakat menjadi hutan lindung itulah yang terjadi dihutan lindung yang dibabat demi kepentingan seseorang, siapa yang memberi hak untuk pembukaan lahan sawit atau yang lain tentunya pemerintah, sehingga masyarakat jadi korbannya, kalian boleh cek lahan hutan lindung yang ada disumbar itu lebih banyak pemukiman dari pada hutannya, yang tadinya emang hutan berdasarkan pemetaan sehingga jumlah dan luas hutan lindung itu tidak bisa dirubah namun di geser karena pembukaan lahan sehingga hutanlindung itu di babat  siapakah yang harus bertanggung jawab ?",3,2 bulan yang lalu,sekedar di ketahui datangnya bencan itu  jujur saat saya bikin sertifikat tanah ternyata tanah saya itu termasuk hutan lindung dan lucunya sekolah sd saya dulu juga termasuk hutan lindung padahal ngak ada hutannya sama sekali  setelah di cek ternyata ini permainan yang tadinya betul  hutan lindung pemetaanya bergeser karena pembukaan lahan sawit contohnya jika dalam pemetaan sebenarnya hutan lindung itu    rb hektar dan ada pembukaan lahan sawit di daerah hutan lindung sebenarnya maka berapa besar lahan yang dibuka di lahan hutan lindung itu segitu juga hutan itu bergeser sehingga pemukiman masyarakat menjadi hutan lindung itulah yang terjadi dihutan lindung yang dibabat demi kepentingan seseorang  siapa yang memberi hak untuk pembukaan lahan sawit atau yang lain tentunya pemerintah  sehingga masyarakat jadi korbannya  kalian boleh cek lahan hutan lindung yang ada disumbar itu lebih banyak pemukiman dari pada hutannya  yang tadinya emang hutan berdasarkan pemetaan sehingga jumlah dan luas hutan lindung itu tidak bisa dirubah namun di geser karena pembukaan lahan sehingga hutanlindung itu di babat  siapakah yang harus bertanggung jawab,Negative
@αααηαα8906,"Assalamu'alaikum bang tolong di notice 

Bensin disini lagi di monopoli yang bisa hanya pertamax Pertalite kosong


Terus dibatasi per kereta sekitar 10 rb - 15 rb



Banyak kekurangan bensin disini",2,2 bulan yang lalu,"assalamu alaikum bang tolong di notice 

bensin disini lagi di monopoli yang bisa hanya pertamax pertalite kosong


terus dibatasi per kereta sekitar    rb      rb



banyak kekurangan bensin disini",Neutral
@McDonald2025-c7u,Udah tau curah hujan tinggi... BMKG apakah udah kasih info. Klo tidak ada bener2 gak ada fungsi nya 🙏🙏🙏,2,2 bulan yang lalu,udah tau curah hujan tinggi    bmkg apakah udah kasih info  klo tidak ada bener  gak ada fungsi nya,Neutral
@Surya-fc1vf,"​ @McDonald2025-c7u  lha thailand dan Malaysia pun kena bencana yang sama
Lu kata BMKG itu dewa tau seberapa banyak hujan yang mau turun 😅",0,2 bulan yang lalu,"c u  lha thailand dan malaysia pun kena bencana yang sama
lu kata bmkg itu dewa tau seberapa banyak hujan yang mau turun",Neutral
@MureyMurtad7o,"​ @McDonald2025-c7u sudah. BMKG memprediksi 8 hari sebelum terjadi,info sudah disampaikan intensitas extreme nya sudah juga diinformasikan. BMKG udah berusaha bruh.",0,2 bulan yang lalu,c u sudah  bmkg memprediksi   hari sebelum terjadi info sudah disampaikan intensitas extreme nya sudah juga diinformasikan  bmkg udah berusaha bruh,Neutral
@MuhammadAlfarizi-s4m,"Apa yang terjadi di Sumatera itu bukan bencana , TAPI KIAMAT...!!!
Dan penyebabnya adalah , PENGUSAHA DAN PEJABAT RAKUS...!",2,2 bulan yang lalu,"apa yang terjadi di sumatera itu bukan bencana   tapi kiamat      
dan penyebabnya adalah   pengusaha dan pejabat rakus",Negative
@yudha_saputra,​ @MuhammadAlfarizi-s4m yang di salahkan malah pulau Jawa 😅,0,2 bulan yang lalu,s m yang di salahkan malah pulau jawa,Neutral
@yudijuanjuan8407,"Maaf bang,,tolong beri penjelasan kpda saya... Menurut saya, Nusantara ini adalah daerah dengan kepulauan kepulauan kecil .. kenapa yaa pemerintah senang sekali mengeruk sumberdaya?? Tanpa kita aneh aneh terhadap alampun menurutku Nusantara adalah daratan yang sangat rentan terhadap bencana,sangat rentan tenggelam ,karna mencairnya kutub,, tanpa pngeboran air,,tanpa penambangan,,    tapi kenapa ya pemerintah matanya sangat   (hijau) banget kalo lihat SDA kita... Tau sedikit aja langsung apa apa dikerukk...mending kalo ada keuntungannya... Contoh nikel cuma 18 ribu/ton itupun dalam bentuk bongkahan,sedangkan dalam bongkahan tanah itu ada lithium dan lain lain yang cuma dikasihkan gratis... Apa keuntungan bagi negara, sedangkan uang kecil yang didapatkan tidak bisa untuk menambal kerusakan alamnya... Contoh.. negara kita rawan tenggelam ,tapi pasir pun dijual diakhir jabatan jokowi... Apa keuntungan jual pasir bisa buat bikin Giant sea wall jika nantinya tenggelam???    Tambang dikeruk,hutan dibabat,demi investor asing. ,, apa keuntungan dari itu semua bisa untuk membayar dampak kerusakan alam nya ..  dan menurutku ,jarang sekali Negara yang bisa maju karna mengandalkan sumber daya alamnya.saja.. Kecuali negara negara arab...  Rata rata negara maju pasti karna industri.(Dagang).  Kenapa pemerintah tidak fokus mengembangkan industrialisasi yah bang?? Padahal kan market kita kuat,300 juta penduduk lebih, masa kita kebingungan pasar,sedangkan kita pasar empuk bagi negara lain... Kalo harga belum bisa bersaing harusnya barang dari luar jangan dikasih masuk...kalaupun harus masuk harusnya bea cukai dibenahi... Maaf bang... Tolong dibahas... Karna saya bodoh,saya cuma pedagang jajanan pinggir jalan yang sekolah cuma sampai SMK...",2,2 bulan yang lalu,maaf bang  tolong beri penjelasan kpda saya    menurut saya  nusantara ini adalah daerah dengan kepulauan kepulauan kecil    kenapa yaa pemerintah senang sekali mengeruk sumberdaya   tanpa kita aneh aneh terhadap alampun menurutku nusantara adalah daratan yang sangat rentan terhadap bencana sangat rentan tenggelam  karna mencairnya kutub   tanpa pngeboran air  tanpa penambangan      tapi kenapa ya pemerintah matanya sangat    hijau  banget kalo lihat sda kita    tau sedikit aja langsung apa apa dikerukk   mending kalo ada keuntungannya    contoh nikel cuma    ribu ton itupun dalam bentuk bongkahan sedangkan dalam bongkahan tanah itu ada lithium dan lain lain yang cuma dikasihkan gratis    apa keuntungan bagi negara  sedangkan uang kecil yang didapatkan tidak bisa untuk menambal kerusakan alamnya    contoh   negara kita rawan tenggelam  tapi pasir pun dijual diakhir jabatan jokowi    apa keuntungan jual pasir bisa buat bikin giant sea wall jika nantinya tenggelam       tambang dikeruk hutan dibabat demi investor asing     apa keuntungan dari itu semua bisa untuk membayar dampak kerusakan alam nya     dan menurutku  jarang sekali negara yang bisa maju karna mengandalkan sumber daya alamnya saja   kecuali negara negara arab     rata rata negara maju pasti karna industri  dagang    kenapa pemerintah tidak fokus mengembangkan industrialisasi yah bang   padahal kan market kita kuat     juta penduduk lebih  masa kita kebingungan pasar sedangkan kita pasar empuk bagi negara lain    kalo harga belum bisa bersaing harusnya barang dari luar jangan dikasih masuk   kalaupun harus masuk harusnya bea cukai dibenahi    maaf bang    tolong dibahas    karna saya bodoh saya cuma pedagang jajanan pinggir jalan yang sekolah cuma sampai smk,Negative
@phamyosinaga8979,"​ @yudijuanjuan8407 kalau harganya 18 ribu per ton ya jelas nggak ada untungnya buat negara BG, apalagi untuk rakyat nggak bisa kebagian bg, fee nya itu yg gede bg, untuk segelintir orang aja.",1,2 bulan yang lalu,kalau harganya    ribu per ton ya jelas nggak ada untungnya buat negara bg  apalagi untuk rakyat nggak bisa kebagian bg  fee nya itu yg gede bg  untuk segelintir orang aja,Neutral
@Sangang_Siseh,"Uni Eropa tertawa bang melihat bencana ini,
Kan mereka ngotot bilang minyak sawit = deforestasi merusak lingkungan, ternyata benar 😭",2,2 bulan yang lalu,"uni eropa tertawa bang melihat bencana ini 
kan mereka ngotot bilang minyak sawit   deforestasi merusak lingkungan  ternyata benar",Positive
@Aps-h2b,"Mau berharap apa, pada akhirnya hanya ada beberapa kambing hitam yang ditumbalkan untuk mereda keresahan masyarakat,,
Setelah suasana kondusif, rakyat mulai tenang, mereka yang serakah akan kembali kongkalikong untuk melancarkan usaha mereka dalam memperkaya diri dengan cara menghancurkan hutan",2,2 bulan yang lalu,"mau berharap apa  pada akhirnya hanya ada beberapa kambing hitam yang ditumbalkan untuk mereda keresahan masyarakat  
setelah suasana kondusif  rakyat mulai tenang  mereka yang serakah akan kembali kongkalikong untuk melancarkan usaha mereka dalam memperkaya diri dengan cara menghancurkan hutan",Neutral
@pasuruan-x,"​ @Aps-h2b tingal atur algoritma medsos,semua hilang😂😂😂😂😂😂😂😂.
Yg kita butuh adalah revolusi.",0,2 bulan yang lalu,"h b tingal atur algoritma medsos semua hilang         
yg kita butuh adalah revolusi",Neutral
@novandwiariyanto9591,"Ati2 gaes, banyak no telpon ga di kenal berkeliaran dari arah pulau sumatera. GetWellSoon Daerah yang terdampak bencana.",1,2 bulan yang lalu,ati  gaes  banyak no telpon ga di kenal berkeliaran dari arah pulau sumatera  getwellsoon daerah yang terdampak bencana,Neutral
@KenziArka-z5r,"Terlepas dari semua isu2 politik, Ini adalah pengingat penting: Pemanasan global itu NYATA, dan solusinya ada di tangan kita, dimulai dari langkah kecil.
​Kita harus berhenti merusak alam! Mulai dari kurangi sampah plastik, hemat energi, dan dukung gerakan penanaman pohon. Alam adalah paru-paru bumi. Kalau kita jaga hutan, lautan, dan ekosistem, kita sebenarnya sedang menjaga diri kita sendiri.",1,2 bulan yang lalu,"terlepas dari semua isu  politik  ini adalah pengingat penting  pemanasan global itu nyata  dan solusinya ada di tangan kita  dimulai dari langkah kecil 
 kita harus berhenti merusak alam  mulai dari kurangi sampah plastik  hemat energi  dan dukung gerakan penanaman pohon  alam adalah paru paru bumi  kalau kita jaga hutan  lautan  dan ekosistem  kita sebenarnya sedang menjaga diri kita sendiri",Positive
@nafishidayat6849,Apakah Dosa president sebelumnya Sama lord?,1,2 bulan yang lalu,apakah dosa president sebelumnya sama lord,Neutral
@IlhamUdah,"Malah menjarah Alfamart, aceh medan Sumatra,gak jelas banget gua ada bukti video nya, brobrok",1,2 bulan yang lalu,malah menjarah alfamart  aceh medan sumatra gak jelas banget gua ada bukti video nya  brobrok,Neutral
@ahmadsuada9667,​ @IlhamUdah medan tu bro yg kena banjir malah angkut besi,0,2 bulan yang lalu,medan tu bro yg kena banjir malah angkut besi,Negative
